air_yards_per_att,yards_per_att,td_rate,int_rate,fantasy_per_att,delta_attempts,delta_air_yards,delta_cpoe,attempts_3wk_avg,attempts_7wk_avg,attempts_trend_3v7,air_yards_3wk_avg,air_yards_7wk_avg,air_yards_trend_3v7,rush_td_rate,rush_yards_per_game,rush_yards_3wk_avg,rush_yards_7wk_avg,rush_trend_3v7,team_implied_points,pass_defense_rank,pressure_rate_def,fantasy_points,fantasy_3wk_avg,fantasy_7wk_avg,fantasy_trend_3v7,is_rookie,is_second_year,years_exp,draft_number,is_undrafted
4.633333333333334,8.133333333333333,0.13333333333333333,0.0,0.8553333333333334,0.0,0.0,0.0,30.0,30.0,0.0,139.0,139.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,31.5,22.0,16.4,25.66,25.66,25.66,0.0,0,0,20.0,24.0,0
5.7272727272727275,6.151515151515151,0.030303030303030304,0.06060606060606061,0.3157575757575758,3.0,50.0,-8.460636363636382,31.5,31.5,0.0,164.0,164.0,0.0,0.0,3.0,1.0,1.0,0.0,22.25,4.0,29.0,10.420000000000002,18.04,18.04,0.0,0,0,20.0,24.0,0
4.956521739130435,6.043478260869565,0.08695652173913043,0.043478260869565216,0.5504347826086956,-10.0,-75.0,5.903346508563914,28.666666666666668,28.666666666666668,0.0,147.33333333333334,147.33333333333334,0.0,0.0,1.0,1.0,1.0,0.0,16.75,16.0,18.9,12.66,16.246666666666666,16.246666666666666,0.0,0,0,20.0,24.0,0
3.3181818181818183,9.090909090909092,0.045454545454545456,0.0,0.5818181818181819,-1.0,-41.0,1.811956521739134,26.0,27.0,-1.0,125.33333333333333,128.75,-3.4166666666666714,0.0,8.0,4.0,2.75,1.25,23.75,12.0,29.1,12.8,11.96,15.385000000000002,-3.4250000000000007,0,0,20.0,24.0,0
7.433333333333334,7.833333333333333,0.06666666666666667,0.0,0.5833333333333334,8.0,150.0,1.5289999999999822,25.0,27.6,-2.6000000000000014,136.66666666666666,147.6,-10.933333333333337,0.0,1.0,3.3333333333333335,2.4,0.9333333333333336,13.25,10.0,25.8,17.5,14.32,15.808000000000002,-1.4880000000000013,0,0,20.0,24.0,0
9.088235294117647,7.323529411764706,0.11764705882352941,0.058823529411764705,0.7223529411764706,4.0,86.0,-8.166058823529369,28.666666666666668,28.666666666666668,0.0,201.66666666666666,174.5,27.166666666666657,0.0,6.0,5.0,3.0,2.0,29.25,30.0,16.4,24.560000000000002,18.286666666666665,17.26666666666667,1.019999999999996,0,0,20.0,24.0,0
6.666666666666667,6.083333333333333,0.05555555555555555,0.0,0.4655555555555555,2.0,-69.0,3.784558823529366,33.333333333333336,29.714285714285715,3.6190476190476204,257.3333333333333,183.85714285714286,73.47619047619045,0.0,0.0,2.3333333333333335,2.5714285714285716,-0.23809523809523814,31.5,5.0,22.3,16.759999999999998,19.60666666666667,17.194285714285716,2.4123809523809534,0,0,20.0,24.0,0
2.942857142857143,5.8,0.02857142857142857,0.0,0.3462857142857143,-1.0,-137.0,-8.026499999999984,35.0,30.428571428571427,4.571428571428573,217.33333333333334,178.71428571428572,38.61904761904762,0.0,0.0,2.0,2.7142857142857144,-0.7142857142857144,25.25,9.0,25.2,12.120000000000001,17.813333333333336,15.260000000000002,2.5533333333333346,0,0,20.0,24.0,0
8.096774193548388,5.193548387096774,0.03225806451612903,0.06451612903225806,0.27225806451612905,-4.0,148.0,-3.995999999999988,34.0,30.142857142857142,3.8571428571428577,198.0,187.57142857142858,10.428571428571416,0.0,0.0,0.0,2.2857142857142856,-2.2857142857142856,19.0,6.0,20.2,8.440000000000001,12.44,14.977142857142857,-2.5371428571428574,0,0,20.0,24.0,0
5.466666666666667,7.733333333333333,0.06666666666666667,0.0,0.6293333333333333,-16.0,-169.0,7.845999999999975,27.0,29.0,-2.0,145.33333333333334,183.0,-37.66666666666666,0.0,8.0,2.6666666666666665,3.2857142857142856,-0.6190476190476191,20.25,30.0,16.4,9.44,10.0,14.517142857142858,-4.517142857142858,0,0,20.0,24.0,0
6.066666666666666,6.444444444444445,0.022222222222222223,0.044444444444444446,0.31555555555555553,0.0,0.0,0.0,45.0,45.0,0.0,273.0,273.0,0.0,0.0,6.0,6.0,6.0,0.0,19.25,30.0,16.4,14.2,14.2,14.2,0.0,0,0,17.0,18.0,0
6.822222222222222,4.4222222222222225,0.022222222222222223,0.022222222222222223,0.2613333333333333,0.0,34.0,-3.4499999999999957,45.0,45.0,0.0,290.0,290.0,0.0,0.0,8.0,7.0,7.0,0.0,35.25,14.0,18.2,11.76,12.98,12.98,0.0,0,0,17.0,18.0,0
7.055555555555555,3.9444444444444446,0.0,0.027777777777777776,0.13,-9.0,-53.0,1.5474444444444586,42.0,42.0,0.0,278.0,278.0,0.0,0.0,0.0,4.666666666666667,4.666666666666667,0.0,15.75,5.0,22.3,4.68,10.213333333333333,10.213333333333333,0.0,0,0,17.0,18.0,0
9.794117647058824,5.411764705882353,0.0,0.058823529411764705,0.1547058823529412,-2.0,79.0,-8.140032679738574,38.333333333333336,40.0,-1.6666666666666643,298.0,291.75,6.25,0.0,-1.0,2.3333333333333335,3.25,-0.9166666666666665,27.0,21.0,23.2,5.260000000000001,7.233333333333333,8.975,-1.7416666666666663,0,0,17.0,18.0,0
0.0,0.0,0.0,0.0,0.0,-34.0,-333.0,7.720588235294123,23.333333333333332,32.0,-8.666666666666668,195.66666666666666,233.4,-37.73333333333335,0.0,0.0,-0.3333333333333333,2.6,-2.9333333333333336,20.75,16.5,20.8,0.0,3.313333333333334,7.18,-3.866666666666666,0,0,17.0,18.0,0
