season,season_type,week,player_display_name,player_position,team_abbr,avg_time_to_throw,avg_completed_air_yards,avg_intended_air_yards,avg_air_yards_differential,aggressiveness,avg_air_yards_to_sticks,attempts,pass_yards,pass_touchdowns,interceptions,passer_rating,completions,completion_percentage,expected_completion_percentage,completion_percentage_above_expectation,avg_air_distance,max_air_distance,player_gsis_id,player_first_name,player_last_name,stat_category,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,player_jersey_number,player_short_name,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,avg_cushion,avg_separation,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation
2025,REG,0,Daniel Jones,QB,IND,2.7415804416403784,6.53560538116592,8.53383870967742,-1.9982333285115006,17.24137931034483,-0.298419354838709,319.0,2659.0,15.0,7.0,101.60005224660395,223.0,69.90595611285266,64.18548589341692,5.7204702194357395,21.701151527029733,63.29454399867337,00-0035710,Daniel,Jones,passing,,,,,,,,,,,,,,,,,,,,,,,,
2025,REG,0,Matthew Stafford,QB,LAR,2.6977683823529413,7.35842391304348,9.16275092936803,-1.8043270163245504,17.88321167883212,1.1962081784386618,274.0,2147.0,21.0,2.0,113.19951338199512,184.0,67.15328467153284,64.24233576642335,2.9109489051094926,22.167355261801372,62.297263182261865,00-0026498,John,Stafford,passing,,,,,,,,,,,,,,,,,,,,,,,,
2025,REG,0,Joe Flacco,QB,CIN,2.7168333333333337,5.1006829268292675,7.09583870967742,-1.995155782848152,17.71771771771772,-1.9622258064516132,333.0,2069.0,13.0,8.0,82.27602602602603,205.0,61.56156156156156,60.352612612612624,1.2089489489489367,20.275161041280786,51.300982446732924,00-0026158,Joseph,Flacco,passing,,,,,,,,,,,,,,,,,,,,,,,,
2025,REG,0,Russell Wilson,QB,NYG,2.7145625,6.677272727272726,9.629711538461539,-2.952438811188813,15.178571428571427,0.2739423076923074,112.0,786.0,3.0,3.0,78.19940476190477,66.0,58.92857142857143,62.220625,-3.2920535714285677,22.349024095957056,60.4399106551292,00-0029263,Russell,Wilson,passing,,,,,,,,,,,,,,,,,,,,,,,,
2025,REG,0,Cameron Ward,QB,TEN,2.9735616438356165,5.3567647058823535,8.27368613138686,-2.9169214255045066,13.220338983050848,-1.091277372262774,295.0,1760.0,5.0,6.0,72.13983050847457,170.0,57.6271186440678,61.690406779661025,-4.0632881355932255,21.57372086053965,58.350467007557015,00-0040676,Cameron,Ward,passing,,,,,,,,,,,,,,,,,,,,,,,,
2025,REG,0,Lamar Jackson,QB,BAL,2.8210447761194026,7.185567010309279,8.667786259541986,-1.482219249232707,12.686567164179104,-0.38564885496183204,134.0,1175.0,14.0,1.0,130.6592039800995,97.0,72.38805970149254,67.52925373134329,4.858805970149248,21.529416881481453,55.8810468763784,00-0034796,Lamar,Jackson,passing,,,,,,,,,,,,,,,,,,,,,,,,
2025,REG,0,Caleb Williams,QB,CHI,3.2382,5.7419642857142845,8.263233082706767,-2.5212687969924827,10.909090909090908,-1.1503007518796993,275.0,2010.0,12.0,4.0,91.93181818181819,168.0,61.09090909090909,68.22585454545454,-7.134945454545445,21.363166984575447,66.08156172488663,00-0039918,Caleb,Williams,passing,,,,,,,,,,,,,,,,,,,,,,,,
2025,REG,0,Baker Mayfield,QB,TB,2.8036395759717316,5.203701657458564,8.223741007194244,-3.02003934973568,19.014084507042252,-0.733093525179856,284.0,2035.0,14.0,2.0,98.5475352112676,181.0,63.732394366197184,64.35426056338028,-0.6218661971830954,21.608085357332474,61.09329341261608,00-0034855,Baker,Mayfield,passing,,,,,,,,,,,,,,,,,,,,,,,,
2025,REG,0,Marcus Mariota,QB,WAS,2.8987209302325585,6.528392857142857,8.709634146341463,-2.1812412891986055,12.5,-0.7659756097560979,88.0,639.0,4.0,4.0,81.58143939393939,56.0,63.63636363636363,62.85704545454546,0.7793181818181765,22.608520057401698,49.08002648736043,00-0032268,Marcus,Mariota,passing,,,,,,,,,,,,,,,,,,,,,,,,
2025,REG,0,Kyler Murray,QB,ARI,2.683403726708075,3.827454545454546,6.0431210191082805,-2.2156664736537346,13.664596273291925,-2.905923566878981,161.0,962.0,6.0,3.0,88.574016563147,110.0,68.32298136645963,69.33155279503104,-1.0085714285714147,19.443927888493864,51.436579396378995,00-0035228,Kyler,Murray,passing,,,,,,,,,,,,,,,,,,,,,,,,
2025,REG,0,Bryce Young,QB,CAR,2.8085664062499998,4.707133757961783,7.0931250000000015,-2.3859912420382186,14.785992217898833,-1.2235416666666667,257.0,1444.0,11.0,6.0,80.94195849546044,157.0,61.08949416342413,63.52610894941635,-2.4366147859922194,20.255337037349094,48.34134048617187,00-0039150,Bryce,Young,passing,,,,,,,,,,,,,,,,,,,,,,,,
2025,REG,0,C.J. Stroud,QB,HOU,2.723526970954357,5.609006211180126,7.508851063829788,-1.8998448526496619,11.570247933884298,-1.4571063829787232,242.0,1702.0,11.0,5.0,93.37121212121212,161.0,66.52892561983471,65.60991735537189,0.9190082644628177,20.848066546499563,52.639134681337616,00-0039163,Coleridge,Stroud,passing,,,,,,,,,,,,,,,,,,,,,,,,
